,xtf_id,Nummer,Bezeichnung,BetrieblicheBezeichnung,Laenge,Kantenhoehe,Gueltigkeit_BeginnGueltigkeit,Gueltigkeit_EndeGueltigkeit,Gueltigkeit_Stand,rHaltestelle,E,N,H,Name
0,ch14uvag00244917,ch:1:sloid:93920:0:2,,2,,,20260327,,20260412,ch14uvag00053715,2559580.96807,1142356.79219,0,"Montreux, avenue Nestlé"
1,ch14uvag00233903,ch:1:sloid:76581:1:5,,13,,,20000528,,20260412,ch14uvag00060606,2614870.913,1180475.882,0,"Steffisburg, Bösbach"
2,ch14uvag00384959,ch:1:sloid:78143:0:1212,,322,,,20250610,,20260412,ch14uvag00040026,2611417.48455,1266388.64702,0,"Basel, Bahnhof SBB"
3,ch14uvag00226167,ch:1:sloid:76227::52,,52,,,20201213,,20260412,ch14uvag00063717,2700657.0,1264742.0,0,"Wiesendangen, Bahnhof"
4,ch14uvag00235818,ch:1:sloid:9437:1:2,,11,,,20210114,,20260412,ch14uvag00225336,2610295.94049,1182572.62021,0,"Uttigen, Dorf"
6,ch14uvag00234495,ch:1:sloid:90620::54,,54,,,20220207,,20260412,ch14uvag00047157,2684602.0,1253936.0,0,"Glattbrugg, Bahnhof"
7,ch14uvag00253023,ch:1:sloid:73185::50,,50,,,20220610,,20260412,ch14uvag00061824,2680353.0,1230641.0,0,"Uerzlikon, Kappelerstrasse"
8,ch14uvag00261174,ch:1:sloid:75521:0:715125,,02,,,20260327,,20260412,ch14uvag00056585,2712300.0,1112062.0,0,"Quartino, Scuole"
11,ch14uvag00235633,ch:1:sloid:91233::11,H,11,,,20201213,,20260412,ch14uvag00065175,2685150.0,1246547.0,0,"Zürich, Klusplatz"
12,ch14uvag00265283,ch:1:sloid:10050:0:332095,,573ULM50,,,20251214,,20260412,ch14uvag00244403,2671366.0,1241497.0,0,"Unterlunkhofen, Mühlegg"
13,ch14uvag00235224,ch:1:sloid:76196::0,,0,,,20201213,,20260412,ch14uvag00065178,2683916.0,1246430.0,0,"Zürich, Kreuzstrasse"
15,ch14uvag00282773,ch:1:sloid:72745::4,D,04,,,20221211,,20260412,ch14uvag00064602,2638282.79845,1237452.14408,0,"Zofingen, Bahnhof"
17,ch14uvag00379253,ch:1:sloid:5153:0:01,A,,,,20221211,,20260412,ch14uvag00223545,2732772.683,1265225.24596,0,"Kradolf, Bahnhof"
18,ch14uvag00236116,ch:1:sloid:76879:1:2,,10,,,19930201,,20260412,ch14uvag00053300,2622481.232,1172357.277,0,"Merligen, Vorderdorf"
19,ch14uvag00282818,ch:1:sloid:72707::1,,01,,,20250107,,20260412,ch14uvag00062958,2634314.12186,1234844.08695,0,"Vordemwald, Rest. Tannenbaum"
20,ch14uvag00270534,ch:1:sloid:2488:0:899712,,02,,,20260327,,20260412,ch14uvag00222240,2593860.0,1245511.0,0,"Delémont, Croisée des Loisirs"
21,ch14uvag00233486,ch:1:sloid:91366::81,,81,,,20201213,,20260412,ch14uvag00065311,2681907.0,1246086.0,0,"Zürich, Sihlcity Nord"
22,ch14uvag00236676,ch:1:sloid:3164::50,,50,,,20201213,,20260412,ch14uvag00048813,2700353.0,1233431.0,0,"Hombrechtikon, Grüt"
23,ch14uvag00237583,ch:1:sloid:5892::3,A,03,,,20260327,,20260412,ch14uvag00038901,2691844.48315,1193008.55697,0,"Altdorf UR, Telldenkmal"
24,ch14uvag00232886,ch:1:sloid:91038::12,G,12,,,20240223,,20260412,ch14uvag00064982,2680855.0,1248034.0,0,"Zürich, Albisriederplatz"
25,ch14uvag00283564,ch:1:sloid:2765::1,,01,,,20250107,,20260412,ch14uvag00048800,2645061.95981,1241452.90289,0,"Holziken, Abzw. Bändli"
26,ch14uvag00254171,ch:1:sloid:77518:1:50,,50,,,20220519,,20260412,ch14uvag00064303,2696469.73524,1227368.84916,0,"Wollerau, Fürti"
27,ch14uvag00229275,ch:1:sloid:76189::50,,50,,,20201213,,20260412,ch14uvag00064679,2686970.0,1244519.0,0,"Zollikon, Rebwiesstrasse"
28,ch14uvag00384322,ch:1:sloid:94475::1,,01,,,20260327,,20260412,ch14uvag00039078,2688635.35862,1165512.83943,0,"Andermatt, Poststrasse"
30,ch14uvag00234383,ch:1:sloid:85285:1:2,,11,,,20180601,,20260412,ch14uvag00225421,2644742.437,1164731.615,0,"Grindelwald, Halten"
31,ch14uvag00229585,ch:1:sloid:3066::81,,81,,,20201213,,20260412,ch14uvag00064799,2689484.43149,1243155.47806,0,Zumikon
32,ch14uvag00236016,ch:1:sloid:87684::50,,50,,,20201213,,20260412,ch14uvag00052620,2695629.0,1233959.0,0,"Männedorf, Asylstrasse"
33,ch14uvag00250487,ch:1:sloid:4032:0:17992,,02,,,20260327,,20260412,ch14uvag00222051,2577123.09482,1188079.76303,0,"Pensier, Buffet de la Gare"
34,ch14uvag00295711,ch:1:sloid:9497:0:727313,,,,,20241121,,20260412,ch14uvag00244476,2567544.03534,1109390.06797,0,"Salvan, La Matze"
35,ch14uvag00253547,ch:1:sloid:2779::53,,53,,,20220610,,20260412,ch14uvag00055738,2672980.0,1237040.0,0,"Ottenbach, Zentrum"
36,ch14uvag00234511,ch:1:sloid:91044::20,,20,,,20201213,,20260412,ch14uvag00064988,2677852.0,1249404.0,0,"Zürich, Am Suteracher"
37,ch14uvag00253623,ch:1:sloid:74236::50,,50,,,20220610,,20260412,ch14uvag00059390,2697211.0,1265939.0,0,"Seuzach, Gemeindehaus"
38,ch14uvag00229976,ch:1:sloid:90869::51,,51,,,20260115,,20260412,ch14uvag00063088,2693391.22453,1231688.26294,0,"Wädenswil, Sonnenrainstrasse"
39,ch14uvag00236507,ch:1:sloid:3180::50,,50,,,20201213,,20260412,ch14uvag00047923,2701606.0,1240902.0,0,"Grüt (Gossau ZH), Dorf"
40,ch14uvag00252844,ch:1:sloid:80635::50,,50,,,20220610,,20260412,ch14uvag00042438,2683392.0,1264267.0,0,"Bülach, Berglistrasse"
41,ch14uvag00271307,ch:1:sloid:4792:0:326802,,02,,,20260327,,20260412,ch14uvag00045502,2568308.0,1174369.0,0,"Estavayer-le-Gibloux, village"
42,ch14uvag00378778,ch:1:sloid:1391:0:236412,1,,,,20250225,,20260412,ch14uvag00050535,2569877.69481,1146276.11124,0,La Tine
43,ch14uvag00340164,ch:1:sloid:91747::50,,50,,,20231201,,20260412,ch14uvag00056684,2705263.0,1232223.0,0,"Rapperswil SG, Bildau"
44,ch14uvag00380418,ch:1:sloid:94638:0:468657,,,,,20250225,,20260412,ch14uvag00059448,2606912.10983,1126677.42881,0,"Sierre, Résidence Beaulieu"
45,ch14uvag00231251,ch:1:sloid:90597::80,,80,,,20201213,,20260412,ch14uvag00044737,2691699.0,1243767.0,0,"Ebmatingen, Looren"
46,ch14uvag00248749,ch:1:sloid:892:0:510206,2,02,,,20260327,,20260412,ch14uvag00053544,2569790.76202,1226702.71936,0,"Mont-Crosin, col"
47,ch14uvag00384318,ch:1:sloid:94472::1,,01,,,20260327,,20260412,ch14uvag00039073,2688512.80396,1165346.66476,0,"Andermatt, Gemeindehaus"
48,ch14uvag00266477,ch:1:sloid:1333:0:386269,,01,,,20260327,,20260412,ch14uvag00047113,2509356.0,1141959.0,0,"Gland, Grand-Champ"
49,ch14uvag00230336,ch:1:sloid:3392::50,,50,,,20201213,,20260412,ch14uvag00047412,2699900.0,1240463.0,0,"Gossau ZH, Mitteldorf"
50,ch14uvag00328359,ch:1:sloid:3203:1:1,1,212,,,20241121,,20260412,ch14uvag00055205,2686238.29016,1237164.74209,0,Oberrieden
51,ch14uvag00232178,ch:1:sloid:76854:1:4,,11,,,19990101,,20260412,ch14uvag00056943,2614621.291,1172511.113,0,"Reutigen, Hani"
52,ch14uvag00231692,ch:1:sloid:7180:7:33,,42,,,20030124,,20260412,ch14uvag00061264,2614707.91,1178112.038,0,"Thun, Bahnhof"
53,ch14uvag00226389,ch:1:sloid:90579::50,,50,,,20201213,,20260412,ch14uvag00044655,2687778.0,1250858.0,0,"Dübendorf, Neugut Süd"
54,ch14uvag00229384,ch:1:sloid:90923::10,,10,,,20220207,,20260412,ch14uvag00063997,2697292.0,1262236.0,0,"Winterthur, Bezirksgebäude"
56,ch14uvag00380283,ch:1:sloid:87111:0:855557,A,01,,,20260303,,20260412,ch14uvag00062404,2606919.86362,1128386.4091,0,"Venthône, village"
57,ch14uvag00232666,ch:1:sloid:91198::81,,81,,,20201213,,20260412,ch14uvag00065142,2685057.0,1246877.0,0,"Zürich, Hölderlinsteig"
58,ch14uvag00229861,ch:1:sloid:73575::50,,50,,,20251209,,20260412,ch14uvag00063072,2692829.0,1231833.0,0,"Wädenswil, Krähbach"
59,ch14uvag00267938,ch:1:sloid:81073::80,,02,,,20220719,,20260412,ch14uvag00058525,2690017.13192,1283580.51609,0,"Schaffhausen, Bachstrasse"
60,ch14uvag00241995,ch:1:sloid:9484:1:2,,11,,,20221026,,20260412,ch14uvag00241738,2616202.48974,1171136.44636,0,"Lattigen bei Spiez, Bahnhof"
61,ch14uvag00380133,ch:1:sloid:79489:0:244277,A,01,,,20260303,,20260412,ch14uvag00043868,2602340.88327,1127423.31159,0,"Crans-Montana, bif.rte du Golf"
62,ch14uvag00234831,ch:1:sloid:91404::82,,82,,,20201213,,20260412,ch14uvag00065350,2682678.0,1246790.0,0,"Zürich, Tunnelstrasse"
63,ch14uvag00379081,ch:1:sloid:3325:0:1,,01,,,20260331,,20260412,ch14uvag00044361,2721239.26335,1201199.87022,0,"Diesbach GL, Feldstrasse"
64,ch14uvag00274397,ch:1:sloid:774:0:28726,,01,,,20260327,,20260412,ch14uvag00054241,2619905.0,1243418.0,0,"Mümliswil, Bank"
65,ch14uvag00378682,ch:1:sloid:939:0:803150,,,,,20241121,,20260412,ch14uvag00051213,2582750.1456,1102357.79063,0,"Le Châble VS, Le Sapey"
67,ch14uvag00232853,ch:1:sloid:91057::51,M,51,,,20231123,,20260412,ch14uvag00064874,2679353.0,1249598.0,0,"Zürich Altstetten, Bahnhof N"
68,ch14uvag00227164,ch:1:sloid:87651::54,,54,,,20201213,,20260412,ch14uvag00063273,2687366.0,1251583.0,0,"Wallisellen, Glatt (Bus)"
69,ch14uvag00229379,ch:1:sloid:91008::10,,10,,,20220207,,20260412,ch14uvag00064116,2698907.0,1262207.0,0,"Winterthur, Talacker"
70,ch14uvag00379356,ch:1:sloid:7547:0:1,,01,,,20260331,,20260412,ch14uvag00225282,2725637.12676,1204040.79774,0,"Schwanden GL, Fryberg"
72,ch14uvag00385051,ch:1:sloid:11406:0:3250,,,,,20250627,,20260412,ch14uvag00354740,2536559.96823,1153768.99192,0,"Union-Prilly, gare"
73,ch14uvag00230398,ch:1:sloid:76848:1:2,,10,,,19990101,,20260412,ch14uvag00063932,2614672.213,1169654.117,0,"Wimmis, Brodhüsi"
74,ch14uvag00252855,ch:1:sloid:3788::50,,50,,,20231123,,20260412,ch14uvag00063962,2683930.0,1260801.0,0,"Winkel, Zentrum"
75,ch14uvag00232827,ch:1:sloid:91097::20,,20,,,20210720,,20260412,ch14uvag00065028,2679169.3422,1249351.28911,0,"Zürich, Bristenstrasse"
76,ch14uvag00234504,ch:1:sloid:91424::10,,10,,,20201213,,20260412,ch14uvag00065370,2686557.0,1245901.0,0,"Zürich, Waserstrasse"
77,ch14uvag00234539,ch:1:sloid:76103::92,,92,,,20201213,,20260412,ch14uvag00057952,2707122.0,1235349.0,0,"Rüti ZH, Bahnhof"
78,ch14uvag00231953,ch:1:sloid:75967::51,,51,,,20201213,,20260412,ch14uvag00048809,2701004.0,1234014.0,0,"Hombrechtikon, Eichberg"
79,ch14uvag00229049,ch:1:sloid:90537::51,,51,,,20201213,,20260412,ch14uvag00044419,2671240.0,1250593.0,0,"Dietikon, Weinberg"
80,ch14uvag00229507,ch:1:sloid:81701::10,,10,,,20220207,,20260412,ch14uvag00064083,2696630.0,1263980.0,0,"Winterthur, Rosenberg"
81,ch14uvag00229936,ch:1:sloid:3869::51,,51,,,20201213,,20260412,ch14uvag00063069,2692479.0,1230656.0,0,"Wädenswil, Herrlisberg"
82,ch14uvag00230067,ch:1:sloid:76615:1:2,,10,,,20000528,,20260412,ch14uvag00051995,2617790.209,1187897.165,0,"Linden, Grafenbühl"
83,ch14uvag00229684,ch:1:sloid:90949::50,,50,,,20220207,,20260412,ch14uvag00064034,2698400.0,1261652.0,0,"Winterthur, Grüzenstrasse"
84,ch14uvag00226146,ch:1:sloid:76231::53,,53,,,20201213,,20260412,ch14uvag00063721,2702150.0,1264339.0,0,"Wiesendangen, Hinterdorf"
85,ch14uvag00227259,ch:1:sloid:90486::50,,50,,,20251202,,20260412,ch14uvag00038569,2681947.0,1239986.0,0,"Adliswil, Wanneten-/Haldenstr."
86,ch14uvag00234314,ch:1:sloid:73205::58,H,58,,,20231123,,20260412,ch14uvag00064892,2684850.0,1256107.0,0,"Zürich Flughafen, Bahnhof"
87,ch14uvag00229081,ch:1:sloid:90882::51,,51,,,20201213,,20260412,ch14uvag00063265,2687984.0,1251962.0,0,"Wallisellen, Blumenweg"
88,ch14uvag00236531,ch:1:sloid:81540::50,,50,,,20201213,,20260412,ch14uvag00062143,2695263.0,1245241.0,0,"Uster, Wildsbergstrasse"
89,ch14uvag00383781,ch:1:sloid:8239:0:232,,Richtung Lettstrasse,,,20241215,,20260412,ch14uvag00225224,2757527.96027,1224001.46222,0,"Vaduz, Spörry"
90,ch14uvag00283201,ch:1:sloid:87242:0:248787,B,,,,20230101,,20260412,ch14uvag00056635,2620671.77318,1205124.30755,0,"Ramsei, Bahnhof"
91,ch14uvag00241545,ch:1:sloid:93321:0:04,C,C,,,20250120,,20260412,ch14uvag00041040,2586188.0,1220614.0,0,"Biel/Bienne, Brühlplatz/Place du Breuil"
92,ch14uvag00254953,ch:1:sloid:90129:0:12,B,12,,,20220623,,20260412,ch14uvag00040600,2601957.0,1201730.0,0,"Bern Wankdorf, Bahnhof"
93,ch14uvag00236627,ch:1:sloid:76250::50,,50,,,20201213,,20260412,ch14uvag00063427,2678353.0,1255328.0,0,"Watt, Schulhaus"
94,ch14uvag00225858,ch:1:sloid:90669::51,,51,,,20201213,,20260412,ch14uvag00049348,2687330.0,1242329.0,0,"Itschnach, Tägermoos"
95,ch14uvag00253294,ch:1:sloid:83361::51,,51,,,20220610,,20260412,ch14uvag00045036,2707537.0,1260056.0,0,"Elgg, Schloss"
96,ch14uvag00267133,ch:1:sloid:1741:0:930939,,01,,,20260327,,20260412,ch14uvag00062625,2592465.0,1115962.0,0,"Veysonnaz, station"
97,ch14uvag00229366,ch:1:sloid:96077::50,,50,,,20230124,,20260412,ch14uvag00220824,2700098.0,1262206.0,0,"Winterthur, Schulhaus Neuhegi"
98,ch14uvag00263224,ch:1:sloid:72646:0:320154,,573UIG51,,,20251214,,20260412,ch14uvag00061973,2671195.0,1241525.0,0,"Unterlunkhofen, Gemeindehaus"
99,ch14uvag00230444,ch:1:sloid:94535:2:6,,22,,,20110418,,20260412,ch14uvag00061260,2612636.283,1177217.812,0,"Thun, Arena Thun"
101,ch14uvag00226190,ch:1:sloid:76083::50,,50,,,20201213,,20260412,ch14uvag00053072,2692008.0,1235611.0,0,"Meilen, Obermeilen"
102,ch14uvag00265875,ch:1:sloid:70889:0:869052,E,5,,,20260408,20261212.0,20260412,ch14uvag00059628,2594839.00058,1119554.00111,0,"Sion, Pont-du-Rhône"
103,ch14uvag00250712,ch:1:sloid:77703:0:16130,,01,,,20260327,,20260412,ch14uvag00062793,2562847.25219,1173694.50783,0,"Villaz-St-Pierre, Le Biolex"
104,ch14uvag00291214,ch:1:sloid:8323:0:694353,1,820,,,20230420,,20260412,ch14uvag00165673,2661761.91435,1194675.26395,0,Sarnen Nord
105,ch14uvag00378667,ch:1:sloid:234:1:6,,06,,,20260327,,20260412,ch14uvag00056848,2612329.0,1261769.0,0,"Reinach BL, Surbaum"
106,ch14uvag00231219,ch:1:sloid:3074::81,,81,,,20201213,,20260412,ch14uvag00054580,2690658.0,1242357.0,0,Neue Forch
107,ch14uvag00234772,ch:1:sloid:90699::0,,0,,,20201213,,20260412,ch14uvag00049852,2686188.0,1256285.0,0,"Kloten, Stadthaus"
108,ch14uvag00253920,ch:1:sloid:73540::50,,50,,,20220610,,20260412,ch14uvag00056007,2702755.0,1246757.0,0,"Pfäffikon ZH, Grundstrasse"
111,ch14uvag00385092,ch:1:sloid:89340:0:1416,,1416,,,20250701,,20260412,ch14uvag00040120,2610789.67012,1265990.06393,0,"Basel, Margarethen"
112,ch14uvag00265563,ch:1:sloid:71134:0:96907,,01,,,20260327,,20260412,ch14uvag00060632,2623607.0,1129567.0,0,"Steg VS, Bäckerei"
113,ch14uvag00267539,ch:1:sloid:70912:0:995983,,02,,,20260327,,20260412,ch14uvag00039302,2604012.0,1100235.0,0,"Arolla, La Gouille"
114,ch14uvag00295473,ch:1:sloid:10115:0:2,B,02,,,20230510,,20260412,ch14uvag00280321,2670953.50708,1252259.76832,0,"Spreitenbach, Kreuzäcker"
115,ch14uvag00227100,ch:1:sloid:95330::50,,50,,,20201213,,20260412,ch14uvag00059518,2686197.0,1232605.0,0,"Sihlbrugg, Alter Bahnhof"
116,ch14uvag00227949,ch:1:sloid:76628:1:2,,11,,,20000528,,20260412,ch14uvag00063346,2618684.708,1185171.684,0,"Wangelen, Mühlematt"
117,ch14uvag00267105,ch:1:sloid:5691:0:678646,,02,,,20260327,,20260412,ch14uvag00054844,2608767.0,1124318.0,0,"Niouc, village"
118,ch14uvag00380359,ch:1:sloid:92306:1:27,,27,,,20230720,,20260412,ch14uvag00054710,2623885.40029,1251081.34477,0,"Niederdorf, Hirschlang"
119,ch14uvag00264823,ch:1:sloid:83538:0:139395,,01,,,20260327,,20260412,ch14uvag00041683,2723733.0,1181299.0,0,"Breil/Brigels, Tgariel"
120,ch14uvag00236601,ch:1:sloid:88481:1:3,,13,,,20020829,,20260412,ch14uvag00061331,2613741.775,1174986.949,0,"Thun, Zeughaus"
122,ch14uvag00227356,ch:1:sloid:90481::50,,50,,,20201213,,20260412,ch14uvag00038565,2682697.0,1240150.0,0,"Adliswil, Rütistrasse/Wacht"
123,ch14uvag00379292,ch:1:sloid:6276:0:0,,,,,20210401,,20260412,ch14uvag00060789,2750546.66315,1248101.80825,0,Strahlholz
124,ch14uvag00231157,ch:1:sloid:76107::51,,51,,,20201213,,20260412,ch14uvag00057042,2696392.0,1228900.0,0,"Richterswil, Wisli"
125,ch14uvag00331024,ch:1:sloid:1525:0:01,,01,,,20260327,,20260412,ch14uvag00045726,2616649.0,1127230.0,0,"Susten, Unter Feithieren"
126,ch14uvag00247362,ch:1:sloid:2851:0:1,,01,,,20260327,,20260412,ch14uvag00064724,2680000.0,1226657.0,0,"Zug, Ammannsmatt"
128,ch14uvag00245120,ch:1:sloid:74614:0:522,K,522,,,20211212,,20260412,ch14uvag00058293,2752475.3101,1212463.65396,0,"Sargans, Bahnhof"
129,ch14uvag00225739,ch:1:sloid:76011::50,,50,,,20201213,,20260412,ch14uvag00048684,2705107.0,1240162.0,0,"Hinwil, Industriestrasse"
130,ch14uvag00235055,ch:1:sloid:91062::23,,23,,,20201213,,20260412,ch14uvag00064937,2683358.0,1251802.0,0,"Zürich Oerlikon, Bahnhof Nord"
131,ch14uvag00263583,ch:1:sloid:94859:0:553672,,02,,,20260327,,20260412,ch14uvag00060675,2750762.0,1263313.0,0,"Steinach, Kirche"
132,ch14uvag00236012,ch:1:sloid:3381::80,,80,,,20201213,,20260412,ch14uvag00047483,2695449.0,1255382.0,0,"Grafstal, Thalegg"
133,ch14uvag00384339,ch:1:sloid:95942::1,,01,,,20260327,,20260412,ch14uvag00166101,2688330.88738,1165183.86323,0,"Andermatt, Gemsstockbahn"
134,ch14uvag00273556,ch:1:sloid:70924:0:245551,,02,,,20260327,,20260412,ch14uvag00059624,2596545.0,1119508.0,0,"Bramois, Petit-Champsec"
135,ch14uvag00380182,ch:1:sloid:80410:0:1002,T,20,,,20260123,,20260412,ch14uvag00053670,2562671.0,1122593.0,0,"Monthey, home les Tilleuls"
136,ch14uvag00235010,ch:1:sloid:91358::11,,11,,,20201213,,20260412,ch14uvag00065304,2679317.0,1251318.0,0,"Zürich, Segantinistrasse"
137,ch14uvag00263853,ch:1:sloid:571:0:421585,,02,,,20260327,,20260412,ch14uvag00062395,2653756.0,1254451.0,0,"Veltheim AG, Unterdorf"
138,ch14uvag00331317,ch:1:sloid:1059:0:1,1,01,,,20260327,,20260412,ch14uvag00051753,2506975.53103,1138452.92937,0,Les Plantaz
140,ch14uvag00272989,ch:1:sloid:3591:0:349826,,02,,,20260327,,20260412,ch14uvag00049741,2660978.0,1269322.0,0,"Kleindöttingen, Zentrum"
141,ch14uvag00379768,ch:1:sloid:30793:0:720954,,,,,20230808,,20260412,ch14uvag00107064,2555516.04456,1198792.34467,0,Cortaillod (bateau)
142,ch14uvag00226599,ch:1:sloid:90735::51,,51,,,20201213,,20260412,ch14uvag00055210,2685951.0,1237134.0,0,"Oberrieden, Hubstrasse"
143,ch14uvag00384302,ch:1:sloid:11469::2,,02,,,20260327,,20260412,ch14uvag00382061,2688293.57189,1166077.79635,0,"Andermatt, Reuss Parking"
144,ch14uvag00379529,ch:1:sloid:10299:0:1002,I,09,,,20260327,,20260412,ch14uvag00244407,2560583.0,1120122.0,0,"Chenarlier, Le Boiron"
145,ch14uvag00262755,ch:1:sloid:70598:0:152383,,01,,,20260327,,20260412,ch14uvag00053415,2555525.0,1131658.0,0,"Miex, Membran"
146,ch14uvag00267516,ch:1:sloid:70563:0:455682,,01,,,20260327,,20260412,ch14uvag00043201,2548980.0,1148000.0,0,"Chexbres, Bellevue"
147,ch14uvag00256714,ch:1:sloid:70596:0:348192,,01,,,20260327,,20260412,ch14uvag00053416,2556496.0,1131859.0,0,"Miex, Plan-du-Chêne"
148,ch14uvag00271531,ch:1:sloid:70555:0:602697,,03,,,20260327,,20260412,ch14uvag00050887,2585017.0,1194494.0,0,"Laupen BE, Bahnhof"
149,ch14uvag00256718,ch:1:sloid:70595:0:256137,,01,,,20260327,,20260412,ch14uvag00062983,2558341.0,1131870.0,0,"Vouvry, gare"
150,ch14uvag00267519,ch:1:sloid:70566:0:293493,,02,,,20260327,,20260412,ch14uvag00056511,2548575.0,1149218.0,0,"Puidoux, Cité-de-Sully"
151,ch14uvag00265414,ch:1:sloid:70582:0:481153,,01,,,20260327,,20260412,ch14uvag00062814,2560147.0,1137228.0,0,"Noville, Pré des Fourches"
152,ch14uvag00344957,ch:1:sloid:70554:0:323303,,03,,,20260327,,20260412,ch14uvag00042394,2584465.05795,1194252.03286,0,"Bösingen, Abzw. Tuftera"
153,ch14uvag00271421,ch:1:sloid:70543:0:252993,,01,,,20260327,,20260412,ch14uvag00051921,2581363.0,1196684.0,0,"Liebistorf, in der Rebe"
154,ch14uvag00262761,ch:1:sloid:70593:0:355546,B,01,,,20260327,,20260412,ch14uvag00062985,2557804.00054,1131664.00113,0,"Vouvry, poste"
155,ch14uvag00256717,ch:1:sloid:70599:0:154594,,02,,,20260327,,20260412,ch14uvag00053413,2556000.0,1132084.0,0,"Miex, village"
156,ch14uvag00259971,ch:1:sloid:677:0:155637,,01,,,20260327,,20260412,ch14uvag00044087,2574721.0,1258202.0,0,"Damphreux, Sous la Côte"
159,ch14uvag00264352,ch:1:sloid:70560:0:944932,,01,,,20260327,,20260412,ch14uvag00045316,2546654.0,1149231.0,0,"Epesses, Crêt-Dessus"
160,ch14uvag00332128,ch:1:sloid:70581:0:106404,C,03,,,20260327,,20260412,ch14uvag00062800,2560589.41229,1138726.85458,0,"Villeneuve VD, gare"
161,ch14uvag00379048,ch:1:sloid:3266:0:2,,02,,,20260331,,20260412,ch14uvag00045053,2732036.25234,1199108.6574,0,"Elm, Schwändi"
162,ch14uvag00385098,ch:1:sloid:12268:0:1403,,,,,20250630,,20260412,ch14uvag00385087,2567962.72873,1108541.69903,0,"Salvan, La Kònba"
163,ch14uvag00233162,ch:1:sloid:91190::81,,81,,,20201213,,20260412,ch14uvag00065130,2680673.0,1247054.0,0,"Zürich, Heuried"
